Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,963.658020,1191.099976,823.556030,908.585022,908.585022,2041699008
2017-01-08,908.174988,942.723999,755.755981,818.411987,818.411987,1211686288
2017-01-15,818.142029,927.367004,812.870972,921.789001,921.789001,838052200
2017-01-22,922.205017,937.525024,891.687012,921.590027,921.590027,748873200
2017-01-29,922.067017,1045.900024,919.148010,1042.900024,1042.900024,955933988
2017-02-05,1043.520020,1088.989990,946.690979,1004.450012,1004.450012,1273765016
2017-02-12,1003.520020,1061.099976,976.002014,1054.420044,1054.420044,753666904
2017-02-19,1054.760010,1200.390015,1041.689941,1143.839966,1143.839966,1170044288
2017-02-26,1144.270020,1280.310059,1130.199951,1255.150024,1255.150024,1529353008
2017-03-05,1254.290039,1276.000000,1077.250000,1175.829956,1175.829956,1971041976
2017-03-12,1176.619995,1257.979980,957.655029,973.817993,973.817993,3117032976
2017-03-19,976.729980,1122.430054,903.713013,972.778992,972.778992,2586791008
2017-03-26,974.015015,1091.719971,954.185974,1080.500000,1080.500000,2390882976
2017-04-02,1080.609985,1188.369995,1075.449951,1175.949951,1175.949951,2983281088
2017-04-09,1176.569946,1208.069946,1156.439941,1172.520020,1172.520020,1773465040
2017-04-16,1172.609985,1240.790039,1172.609985,1231.709961,1231.709961,1831617008
2017-04-23,1231.920044,1331.280029,1203.939941,1321.790039,1321.790039,2466335984
2017-04-30,1321.869995,1618.030029,1314.920044,1578.800049,1578.800049,4649987904
2017-05-07,1579.469971,1873.930054,1559.760010,1804.910034,1804.910034,6624101952
2017-05-14,1800.859985,2084.729980,1661.910034,2084.729980,2084.729980,6205447008
2017-05-21,2067.030029,2763.709961,1855.829956,2038.869995,2038.869995,12064870016
2017-05-28,2054.080078,2581.909912,2054.080078,2515.350098,2515.350098,9615725056
2017-06-04,2547.790039,2999.909912,2452.540039,2947.709961,2947.709961,10980759936
2017-06-11,2942.409912,2997.260010,2212.959961,2655.879883,2655.879883,12555650048
2017-06-18,2655.350098,2772.010010,2516.330078,2608.719971,2608.719971,9148278912
2017-06-25,2607.250000,2682.260010,2332.989990,2434.550049,2434.550049,8088205952
2017-07-02,2436.399902,2916.139893,2394.840088,2571.340088,2571.340088,6107640000
2017-07-09,2572.610107,2635.489990,1990.410034,1998.859985,1998.859985,6798107008
2017-07-16,1991.979980,2900.699951,1843.030029,2810.120117,2810.120117,10058020096
2017-07-23,2808.100098,2897.449951,2450.800049,2726.449951,2726.449951,7309757952
2017-07-30,2724.389893,3290.010010,2644.850098,3252.909912,3252.909912,7738754880
2017-08-06,3257.610107,3949.919922,3155.600098,3884.709961,3884.709961,11564919936
2017-08-13,3880.040039,4484.700195,3857.800049,4193.700195,4193.700195,19623159808
2017-08-20,4189.310059,4455.700195,3674.580078,4352.399902,4352.399902,16322049920
2017-08-27,4345.100098,4975.040039,4224.640137,4578.770020,4578.770020,15186869888
2017-09-03,4585.270020,4714.080078,3998.110107,4226.060059,4226.060059,15722330240
2017-09-10,4229.339844,4344.649902,2946.620117,3625.040039,3625.040039,16003139968
2017-09-17,3606.280029,4094.070068,3445.639893,3792.399902,3792.399902,9494593984
2017-09-24,3796.149902,4358.430176,3666.899902,4338.709961,4338.709961,9159665024
2017-10-01,4341.049805,4470.229980,4164.049805,4426.890137,4426.890137,8183368064
2017-10-08,4429.669922,5840.299805,4405.640137,5831.790039,5831.790039,14178150016
2017-10-15,5835.959961,6194.879883,5151.439941,6031.600098,6031.600098,14547019776
2017-10-22,6036.660156,6076.259766,5397.879883,5753.089844,5753.089844,14158250112
2017-10-29,5754.439941,7492.859863,5724.580078,7379.950195,7379.950195,20320320512
2017-11-05,7404.520020,7776.419922,6204.220215,6357.600098,6357.600098,25764030208
2017-11-12,6295.450195,8004.589844,5519.009766,7790.149902,7790.149902,36061259776
2017-11-19,7766.029785,8790.919922,7694.100098,8790.919922,8790.919922,28174760192
2017-11-26,8789.040039,11517.400391,8775.589844,11074.599609,11074.599609,49278829568
2017-12-03,11082.700195,18353.400391,10862.000000,15178.200195,15178.200195,85290278400
2017-12-10,15168.400391,19716.699219,13226.599609,19497.400391,19497.400391,93995898880
2017-12-17,19475.800781,20089.000000,11833.000000,14699.200195,14699.200195,118998898688
2017-12-24,14608.200195,16930.900391,12350.099609,12952.200195,12952.200195,87993499648
2017-12-31,12897.700195,17712.400391,12755.599609,17527.000000,17527.000000,120084699136
2018-01-07,17527.300781,17579.599609,13105.900391,14360.200195,14360.200195,110804100096
2018-01-14,14370.799805,14511.799805,9402.290039,12899.200195,12899.200195,99081799680
2018-01-21,12889.200195,12895.900391,10129.700195,11440.700195,11440.700195,66276818944
2018-01-28,11475.299805,12040.299805,7796.490234,9174.910156,9174.910156,62086830080
2018-02-04,9175.700195,9334.870117,6048.259766,8621.900391,8621.900391,63440451072
2018-02-11,8616.129883,11139.500000,7931.100098,11112.700195,11112.700195,51004749824
2018-02-18,11123.400391,11958.500000,9546.969727,9813.070313,9813.070313,58425489408
2018-02-25,9796.419922,11528.200195,9407.059570,11489.700195,11489.700195,48525440000
2018-03-04,11497.400391,11704.099609,8513.030273,8866.000000,8866.000000,49459369984
2018-03-11,8852.780273,9937.500000,7783.049805,7916.879883,7916.879883,41733099520
2018-03-18,7890.520020,9177.370117,7397.990234,8668.120117,8668.120117,42922330112
2018-03-25,8612.809570,8682.009766,6683.930176,6973.529785,6973.529785,38008469504
