Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,156.300003,159.699997,155.210007,159.100006,147.508514,11837900
2017-01-08,159.000000,159.940002,156.669998,158.830002,147.258148,13700100
2017-01-15,158.199997,160.300003,156.750000,159.529999,147.907181,11374300
2017-01-22,158.940002,170.000000,157.289993,167.699997,155.481918,25658700
2017-01-29,165.919998,165.990005,160.820007,162.399994,150.568100,20718400
2017-02-05,162.419998,167.419998,162.380005,166.229996,154.119034,16536100
2017-02-12,166.449997,173.250000,166.350006,172.710007,161.504318,18431500
2017-02-19,173.919998,178.800003,173.679993,177.440002,165.927414,14763600
2017-02-26,178.000000,185.710007,177.550003,182.179993,170.359848,21966000
2017-03-05,181.399994,182.839996,177.919998,178.699997,167.105667,16713800
2017-03-12,177.160004,180.380005,177.070007,180.100006,168.414825,17552800
2017-03-19,180.100006,180.250000,174.770004,175.820007,164.412521,12200700
2017-03-26,174.369995,178.490005,173.750000,176.860001,165.385056,10573800
2017-04-02,177.080002,180.179993,175.500000,178.850006,167.245926,12979000
2017-04-09,179.000000,179.970001,175.559998,175.619995,164.225449,9522400
2017-04-16,175.839996,180.929993,175.649994,180.380005,168.676666,13016700
2017-04-23,181.750000,184.929993,180.110001,184.830002,172.837936,16659600
2017-04-30,184.229996,185.070007,181.800003,185.009995,173.006271,13405900
2017-05-07,185.380005,187.210007,178.179993,183.250000,171.360458,18390500
2017-05-14,183.300003,184.110001,175.470001,180.759995,170.325989,15213800
2017-05-21,183.779999,187.610001,182.520004,186.589996,175.819489,11594400
2017-05-28,186.759995,191.699997,184.529999,190.229996,179.249374,13322800
2017-06-04,190.070007,191.070007,186.389999,190.029999,179.060913,13315800
2017-06-11,190.300003,197.949997,188.050003,196.440002,185.100906,16656000
2017-06-18,197.880005,202.350006,197.000000,202.229996,190.556702,16604300
2017-06-25,202.770004,204.389999,196.449997,197.750000,186.335297,12125800
2017-07-02,198.070007,203.279999,197.750000,202.369995,190.688614,10055700
2017-07-09,202.320007,208.729996,202.190002,208.509995,196.474197,13507700
2017-07-16,208.729996,212.199997,207.529999,212.139999,199.894669,10950200
2017-07-23,212.000000,242.679993,211.399994,241.270004,227.343231,34884700
2017-07-30,241.850006,246.490005,236.039993,237.710007,223.988708,26618800
2017-08-06,237.600006,241.429993,230.940002,234.880005,221.322067,24506000
2017-08-13,236.009995,240.259995,234.570007,235.770004,223.485703,14567700
2017-08-20,235.770004,239.889999,234.350006,235.889999,223.599487,12802800
2017-08-27,236.220001,242.529999,234.610001,240.330002,227.808151,15078100
2017-09-03,240.300003,240.360001,234.289993,238.779999,226.338882,14518000
2017-09-10,239.500000,249.949997,237.089996,249.000000,236.026398,24888400
2017-09-17,249.970001,259.299988,248.910004,256.450012,243.088257,19455900
2017-09-24,256.970001,258.769989,251.169998,254.210007,240.964951,14610100
2017-10-01,254.649994,258.989990,253.529999,258.579987,245.107224,15556100
